date,longitude,latitude,level,expver,o3,t,OT
1970/7/1,104,0.5,10,1,1.59E-05,232.5788,-2.7599087
1970/8/1,104,0.5,10,1,1.67E-05,231.8692,-3.9948843
1970/9/1,104,0.5,10,1,1.68E-05,231.74306,-0.84393215
1970/10/1,104,0.5,10,1,1.65E-05,232.28471,5.688501
1970/11/1,104,0.5,10,1,1.55E-05,232.52676,8.912376
1970/12/1,104,0.5,10,1,1.51E-05,231.40167,17.646595
1971/1/1,104,0.5,10,1,1.54E-05,227.901,14.935528
1971/2/1,104,0.5,10,1,1.52E-05,232.11127,3.8430943
1971/3/1,104,0.5,10,1,1.56E-05,231.42769,7.8573537
1971/4/1,104,0.5,10,1,1.57E-05,232.66948,10.864813
1971/5/1,104,0.5,10,1,1.58E-05,230.5604,3.6043324
1971/6/1,104,0.5,10,1,1.62E-05,229.54962,-1.3802643
1971/7/1,104,0.5,10,1,1.67E-05,229.06238,-8.498428
1971/8/1,104,0.5,10,1,1.74E-05,227.94516,-16.235256
1971/9/1,104,0.5,10,1,1.74E-05,228.95987,-19.58263
1971/10/1,104,0.5,10,1,1.67E-05,229.77354,-21.404512
1971/11/1,104,0.5,10,1,1.58E-05,231.24556,-24.422558
1971/12/1,104,0.5,10,1,1.54E-05,229.62769,-29.543589
1972/1/1,104,0.5,10,1,1.54E-05,227.69995,-29.302475
1972/2/1,104,0.5,10,1,1.58E-05,227.18668,-31.306664
1972/3/1,104,0.5,10,1,1.59E-05,230.86475,-30.306923
1972/4/1,104,0.5,10,1,1.58E-05,232.75305,-33.41671
1972/5/1,104,0.5,10,1,1.56E-05,233.50522,-38.110794
1972/6/1,104,0.5,10,1,1.58E-05,232.45895,-39.343414
1972/7/1,104,0.5,10,1,1.59E-05,233.9286,-31.13024
1972/8/1,104,0.5,10,1,1.65E-05,233.30653,-27.818151
1972/9/1,104,0.5,10,1,1.62E-05,236.10312,-13.339533
1972/10/1,104,0.5,10,1,1.58E-05,234.77776,0.5827589
1972/11/1,104,0.5,10,1,1.53E-05,233.97906,14.877897
1972/12/1,104,0.5,10,1,1.50E-05,232.9202,18.334652
1973/1/1,104,0.5,10,1,1.52E-05,229.16092,19.337923
1973/2/1,104,0.5,10,1,1.56E-05,229.59615,16.815044
1973/3/1,104,0.5,10,1,1.54E-05,232.53859,13.629982
